"TARGET_deathRate","incidenceRate","medIncome","povertyPercent","MedianAge","AvgHouseholdSize","PercentMarried","BirthRate"
164.9,489.8,61898,11.2,39.3,2.54,52.5,6.118831029
161.3,411.6,48127,18.6,33,2.34,44.5,4.333095578
174.7,349.7,49348,14.6,45,2.62,54.2,3.729487817
194.8,430.4,44243,17.1,42.8,2.52,52.7,4.603840773
144.4,350.1,49955,12.5,48.3,2.34,57.8,6.796657382
176,505.4,52313,15.6,45.4,2.58,50.4,4.964476021
175.9,461.8,37782,23.2,42.6,2.42,54.1,4.204317269
183.6,404,40189,17.8,51.7,2.24,52.7,5.889178996
190.5,459.4,42579,22.3,49.3,2.38,55.9,5.587583149
177.8,510.9,60397,13.1,35.8,2.65,50,5.533430211
121.4,413.3,54721,12.7,54.4,2.04,56.8,4.586129754
172.7,499.3,51395,15.7,41,2.56,53.6,5.818153266
188.3,398.9,52673,12.6,45.2,2.49,54.4,4.805591962
165.3,493.4,71890,9.9,37.6,2.68,52.1,4.729251068
171,440.7,50083,16.3,37.2,2.45,49.4,5.355835918
174.2,423.8,43823,19.3,46.2,2.44,57.2,3.631082062
169.9,495.9,61653,11.9,38.5,2.52,52.4,5.180155167
153.8,463.2,51022,13.9,52.1,2.31,53.5,0.535475234
162.8,442.5,49819,15.7,36.9,2.5,46.5,4.138710893
163.3,490.9,53733,15.7,36.5,2.53,47.5,4.4729858
140.8,390.5,41837,28.4,24.2,2.31,36.1,3.304159034
169.4,411,44342,20.5,32.5,3.05,48.6,6.560611666
189.7,445.2,35615,21.5,41.5,2.68,52,2.292860865
206.1,463.1,56737,13.2,38.4,0.0263,51.8,4.872468117
236.7,501.8,37625,22.1,41.9,2.5,55.2,4.220287661
196.3,396.6,33817,22.2,44.5,2.51,52.4,5.469020422
186.2,481.6,43572,15.1,45.9,2.26,50.3,4.970530452
194,483.4,34887,21.9,38.5,2.32,43,4.521925134
226.5,459.9,32162,21.8,47,2.44,55.7,4.780114723
212.9,591,32961,25.1,43.3,2.62,55.8,8.753056235
185.6,234,41838,17.4,43.7,2.85,45.8,6.016466118
217,457,36739,21.4,43.2,2.47,50.9,6.526136485
209.9,463.1,32705,28.9,38.4,2.4,43.2,2.328431373
128,356.3,41039,17,45.6,0.028,50.5,3.528435035
195.1,494.9,36996,21.1,45.3,2.28,52.2,4.354354354
212.1,475.1,35980,21.2,44.6,2.25,38.7,2.28320067
184.1,495,48178,12.9,45.6,2.32,51.8,5.693029274
153,374.9,41010,15.3,44.5,2.69,50.1,2.955003358
206.7,506.6,42121,13.9,42,2.48,52.4,5.060383303
194.2,475.8,41121,16.7,42.6,2.62,54.5,4.735242361
178.2,423.7,66950,10.2,39.7,2.65,53.3,4.995519713
205.4,508.7,43936,16.8,42.8,2.28,47.9,4.091266719
218.4,553,40568,20,43.3,2.48,50.6,4.374100719
226.9,513.2,34295,24.4,41.9,2.69,50.6,2.635983264
240.1,523.9,36437,20.2,42.6,2.5,53.1,4.195713917
234.8,457.1,24707,34.9,44.1,2.39,46,3.860072376
188.8,510.9,43729,17.9,41.1,2.47,51,5.113459745
184.6,456.3,43356,15.2,44.3,2.36,57.7,3.174132305
209.5,463.4,35799,20.6,43,2.44,51.6,3.66910141
210,493.8,35046,20.5,42.3,2.39,50.6,4.807972069
198.4,456.6,40012,16.1,43.2,2.4,44.2,7.391231312
240.8,507,29839,28.1,41.7,2.38,55.6,2.796024928
155.9,444.5,43835,22.5,30,2.56,37.2,4.001671717
190.7,434.6,36351,19.3,46.6,2.3,56.8,6.07651913
209.7,425.4,44446,13,46.1,2.36,47.7,4.090035685
199.8,455.5,36375,19.6,43.4,2.39,57.9,3.346456693
184.4,500.9,40195,18.4,43.3,2.24,45.2,3.257226644
139.8,381.8,38204,16.7,49.1,2.35,55.3,7.611940299
213.3,458.9,44801,16.5,43.6,2.43,55,2.966381015
176.8,384.8,34341,17.6,48.4,2.24,56.4,4.256631709
169.8,435.3,41420,17.6,42.3,2.52,53.3,4.038301415
171.5,497.2,59472,10,41,2.6,57.4,6.034482759
198.2,469.6,40270,17.7,41.6,2.4,51.3,3.77850558
168.6,405.2,37468,20.8,43.2,2.35,52.2,4.231027535
214.7,502,46383,17.7,45.2,2.56,49.5,6.267539757
204,449.2,33041,23.1,44.2,2.48,53.9,2.353331124
170.4,377.1,32456,25.8,46.3,2.22,53.5,3.812668868
172.2,400.9,40305,16.8,43,2.45,52.3,6.801152738
168.1,528.4,36466,17.1,47.7,2.26,60.5,3.868613139
199.1,468.3,41019,15.8,46.2,2.48,53.5,1.988950276
189.5,453.7,38387,19.7,41.8,2.57,51.5,5.300938708
183.8,433.2,37242,20,42.5,2.47,48.9,4.112005292
259.5,511.9,29331,26.1,46.3,2.28,54.1,4.203539823
202.6,514.6,40013,18.5,46,2.46,51.4,6.161137441
185.8,455.3,38600,20.3,45,2.4,52.2,5.968928863
185.5,488.8,41932,17.2,42.5,2.37,51.1,6.23870268
235.4,447.8,34419,22.8,42.8,2.48,55.7,6.018614271
206,467.9,42063,17.8,51.4,2.47,50.9,3.861129137
217.5,451.5,41294,14.9,42.2,2.29,45.9,6.460336538
168.4,412.1,46375,13.7,43.9,2.35,55.8,5.884312202
171.7,369.9,44395,13.6,50.8,2.16,58.5,5.547054323
158.6,479.1,54141,12,36.8,2.46,51.4,5.921762149
166.4,385.7,50998,10.5,45,2.29,59,7.17472119
190.1,399.2,41810,16.5,50.9,2.08,59,4.96054115
157.9,474.1,68430,5.9,39,2.66,62,4.330985915
160.1,482.4,52485,10.7,40.6,2.44,55.6,5.497771174
157.6,455.2,45316,16,37.1,2.65,58.2,9.86429301
176.6,476.1,59020,8.8,42,2.44,54.9,4.654466449
176.4,466.4,43562,14.7,45.9,2.38,52.3,5.300353357
153.8,430.7,61937,13.4,34.6,2.35,47.5,4.458527742
178.9,437.3,54359,9.9,42,2.51,51.1,4.49736915
158.7,449.3,49717,11,51.7,2.11,62.6,4.481380181
192.8,354.7,46475,13.9,40.6,2.28,47.6,6.150455775
155.6,396.1,52224,13.9,34.1,2.48,47.6,5.116736739
163.4,440.9,48102,14.4,33.8,2.43,46.4,4.346348463
171.9,308.2,44562,12.8,51.1,2.32,59.9,3.462050599
159.4,477,52149,9.9,41,2.4,54.8,4.541733098
166.4,490.6,41418,17,45.3,2.33,52.8,7.250418293
166.9,428.2,46972,15,36.1,2.44,48.6,5.174434328
158.4,420,53328,8.7,42.2,2.47,56.7,5.46031746
152.3,447.2,61802,8.2,458.4,2.46,58.1,9.675645959
169.9,356.1,40351,16,46.1,2.29,56.5,5.360824742
187.4,400.6,43883,12.1,49.5,2.21,61,7.992565056
138.2,221.5,55955,9.2,38.8,2.61,62.7,5.678233438
120.2,432.5,49517,10.7,48.9,2.15,67,6.35451505
215,453.6,41344,34,28.6,3.3,40.9,8.467741935
156.3,350.1,44726,12.3,46,2.21,64.2,5.01285347
159.2,431.4,69191,7.4,41.2,2.48,63.5,5.725611099
142.1,392,53290,13.6,30.1,2.33,53.9,5.981533521
162.7,495.5,40979,12.7,47.5,2.31,57.2,3.524229075
164.7,389.2,51335,10.6,41.3,2.31,56.5,6.993486459
211,453.5494221,46840,13.2,38.9,2.51,51.6,7.724034496
167.7,453.5494221,51241,15.6,36.4,2.78,44.6,5.125073246
145.2,453.5494221,60322,10.3,49.4,2.37,58.9,5.193753615
143.2,453.5494221,72648,10.8,33.5,2.87,56.6,6.700733537
178.7,453.5494221,70535,9.8,43.9,2.17,64.7,2.412868633
191.5,453.5494221,67423,10.7,35.3,2.74,51.6,5.517423442
123.8,453.5494221,74347,11,37.2,2.79,54.3,11.63179916
127.4,453.5494221,45629,15.1,37.4,2.55,56.8,4.519774011
195.7,453.5494221,48576,13.7,43.2,2.63,51.1,4.62962963
254.3,453.5494221,40714,19,48.7,0.0225,41.8,9.518477044
213.5,453.5494221,42881,16.8,50.8,0.0242,54.4,6.302577113
121.8,453.5494221,52001,18.5,41.3,2.29,44.8,14.62113127
132.6,453.5494221,55291,8.4,54.7,2.2,53.5,1.17820324
166,453.5494221,52862,15.4,37.6,2.58,47,5.642578635
188.4,453.5494221,57243,13.7,39.4,2.71,44.8,5.470459519
193.5,453.5494221,45639,19.3,42.6,2.43,45.1,4.262413265
182.6,508.6,59831,10,46.1,2.42,54.2,4.824422651
168.8,481.8,57556,10.7,50.3,2.22,59.4,7.381867511
162.8,489.4,56008,11.8,42,2.34,48.4,4.687933426
181.6,459.2,42491,14.9,48.1,2.13,51.5,5.975049245
155,435.5,56353,11.6,41.9,2.35,48.5,6.078496198
163.2,482.2,71233,8.7,40.1,2.55,51.4,5.055576216
173.1,507.6,62429,9.5,42.6,2.49,51.5,3.901815696
172.2,518.8,79653,6.1,43.5,2.51,56.8,4.370734571
177.6,502.6,58577,11.8,37.2,2.48,46.8,3.681800261
171.9,475.7,57142,10.4,45.1,2.44,50.9,3.657874742
179.5,505.5,54208,15.1,40.6,2.64,45.1,4.69661296
147.3,468.1,84309,7.6,41.5,2.73,54.2,4.077070131
171.6,531.8,80479,7.2,41,2.66,50.8,4.910516481
182.8,530.9,61685,13,38.3,2.71,44.7,5.434939238
193.1,559.1,55409,13,48.3,2.3,53.4,5.43325019
189.6,511.3,45438,19.5,36.9,2.86,39.6,5.846434788
161.8,450.6,54603,16.7,36.9,2.77,39.1,5.084469955
193.5,544.2,78983,8.2,39.6,2.74,51.7,4.878014043
152.6,399.5,57720,17.7,34.7,2.63,41.5,5.344239425
145.1,496.3,103876,4.7,45,2.6,57.7,4.22223833
160.3,504.7,73750,11.8,38.4,2.69,47.2,4.725836381
156.7,466.7,77330,8.3,37.7,2.85,51.6,5.074989438
168.6,529.6,87220,8.2,42.3,2.67,53.2,4.571872443
150.3,488.5,100511,5,42,2.72,56.7,3.635690867
174.2,524.9,62937,11.9,42.8,2.59,53.6,6.13243835
159.1,448.4,58030,18.2,36.5,3.09,44.3,4.533343875
194.8,516.6,56645,13.1,41.8,2.61,48.7,5.98109071
153.3,471,100194,5,40.8,2.81,56.6,4.842990108
176.4,493.1,82048,6.2,43.4,2.67,55.9,4.625184917
155.6,463,68172,11.1,38.1,2.91,46.5,5.746896424
175.1,485.9,71294,8.3,42.6,2.52,54.5,4.839230894
147.1,404.1,47192,18.7,36.5,2.52,43.7,5.264795797
164.7,375.5,33256,22.2,57.1,2.44,49.4,0.689655172
164.5,375.8,38403,23.4,34.8,2.72,48.1,8.496374333
146.5,375.5,35081,28.8,36.2,2.98,38.1,6.744769874
139.9,377.4,37156,20.5,47.6,2.26,48.3,5.741042345
143.8,336.5,42620,19.2,30.7,2.72,48.7,7.197033541
243.6,467.1,33789,20.6,47.3,3.84,27.6,0
150.8,381,38974,27.9,32.4,2.8,46.2,5.880465757
170.8,391.3,57007,14.1,36.5,2.66,50.3,9.558702453
159.4,366.5,38221,19.1,46.5,2.37,45.8,5.998550199
142.8,361.2,29147,25.8,41.6,3.28,33.7,3.558718861
166.3,357,34304,24.5,41.8,2.47,46.1,5.485232068
166.2,357.1,58994,16.6,31.8,3.08,53.3,7.530333184
123.4,363.9,39995,20.1,50.4,2.33,52.2,8.532518066
114.5,406.2,108477,4.2,43.5,2.34,65.5,5.543652919
181.8,420.6,27268,30.6,39,2.7,47.1,8.62924023
137.7,332.9,29497,35.8,30.8,3.97,33.5,7.322096363
134.3,359,27627,24.2,42.6,2.81,41.2,1.084812623
161.1,393,41736,20.2,35.6,2.63,49.1,8.221797323
190.6,412.7,29069,23.9,45.7,2.59,45,4.063068526
155.5,351.8,34902,24.1,40.1,2.86,41.9,3.902327704
163.5,360.7,36108,24,29.4,2.62,45.1,4.392712551
135.7,395.4,56142,12.6,469.2,2.83,49.7,5.497053425
136.7,356.1,47520,21,34.2,3.04,46.6,6.09617959
158.2,355.6,32964,25.5,42.5,2.51,33,5.744748568
126.1,374.3,52628,14.2,44.4,2.35,47.6,4.017424976
190.3,424.2,29036,23.8,55.6,2.25,47.9,8.198614319
167.8,404.4,32285,31,36.8,3.43,28.5,2.688172043
135.2,339,36125,19.2,46.8,2.44,42.4,4.706601467
164.3,558.5,37311,27.6,43.3,2.81,49.1,2.98792117
151.6,303,36684,19.4,40.3,2.39,44.5,3.536585366
163.1,402.3,40591,24.5,38.5,2.78,49.2,6.407674997
176.1,505.9,60371,13.5,37.9,2.35,40.8,3.774039071
177.2,490.7,42655,18.3,38.3,2.36,47.6,4.844731809
162,455.3,33687,31.5,33.2,2.86,31,5.67890152
163.6,494.4,46283,17.2,39.9,2.37,43.8,4.2987606
167.9,517.8,43892,16.2,41.4,2.41,48.7,4.82052462
158.6,470.8,52792,12.7,42.5,0.0243,46.8,5.470136014
173.2,550.1,41757,19.3,41.7,2.36,47,6.073151538
183.8,508.2,48880,18.2,40.9,2.35,48.3,5.089635277
180.3,512.4,46387,16.7,43.8,0.0249,50.2,5.052412881
194.2,437.1,34842,20.5,46,2.32,52,6.007452513
111.3,327,38636,14.6,59,2.1,63.1,10.79136691
200.6,460.2,64350,10.2,44.5,2.57,58.1,3.667228197
149,423,75926,7.9,45.4,2.49,58.3,4.819607038
180.3,383.4,46331,14.8,45.9,2.46,53.7,9.290030211
195.7,491.5,76206,7.5,36.6,2.96,56.6,6.194544857
187.4,514.8,64305,8.8,40.7,2.66,58.5,6.631716907
190.6,446.8,45827,13.7,55.6,2.13,51.4,4.297328688
224.2,330.5,31429,26.6,42.8,2.52,49.8,6.208251473
136.5,364.9,122641,3.9,35.3,3.08,61.2,6.198748382
191,456.9,60121,11.5,43.7,2.64,55.1,5.015546843
189.8,404.1,37548,22.4,44.7,2.48,45.7,7.48049564
169.8,463.3,52513,12.3,44.6,2.58,52.2,6.25698324
157.1,444.9,58268,10.6,51.1,2.3,63.6,1.906898486
213.7,445.1,38500,21.1,47.2,2.41,44.4,4.664723032
206.9,525.6,48921,14.4,52.7,2.38,54.4,2.71468144
153.3,396.2,43484,24.8,27.5,2.48,39.1,3.135414054
194.3,526.7,48076,13.4,48.4,2.33,50,5.74048913
201.4,454.3,72406,6.2,43.1,2.61,60.6,2.628490965
227.1,527.2,36822,21.5,48.3,2.26,46.4,6.455750321
190.5,450.4,51422,14.3,55.1,2.1,61,7.278020378
201.5,508,37996,24.3,41.5,0.0254,42.7,7.331771008
177.3,503.5,59282,10.7,42.6,2.66,54.7,2.100668394
199.2,430.1,44851,16.9,44.1,2.52,53.1,5.963302752
178.3,339.1,34885,21.9,48,2.31,53.5,2.944539737
176.8,399,44207,14.6,546,2.36,53.5,4.194566305
